Year,Month,Day,Hour,Min,Sec,Weekday,Miles,Minutes,Status
2017,11,13,10,20,53,0,15.1,21.0,OK
2017,11,13,10,35,57,0,15.1,25.0,OK
2017,11,13,10,51,01,0,15.1,23.0,OK
2017,11,13,11,06,05,0,15.1,21.0,OK
2017,11,13,11,21,09,0,15.1,21.0,OK
2017,11,13,11,36,13,0,15.1,21.0,OK
2017,11,13,11,51,17,0,15.1,21.0,OK
2017,11,13,12,06,21,0,15.1,21.0,OK
2017,11,13,12,21,26,0,15.1,21.0,OK
2017,11,13,12,36,29,0,15.1,21.0,OK
2017,11,13,12,51,33,0,15.1,21.0,OK
2017,11,13,13,06,38,0,15.1,20.0,OK
2017,11,13,13,21,42,0,15.1,21.0,OK
2017,11,13,13,36,46,0,15.1,21.0,OK
2017,11,13,13,51,50,0,15.1,21.0,OK
2017,11,13,14,06,54,0,15.1,21.0,OK
2017,11,13,14,21,58,0,15.1,21.0,OK
2017,11,13,14,37,01,0,15.1,21.0,OK
2017,11,13,14,52,05,0,15.1,23.0,OK
2017,11,13,15,07,08,0,15.1,25.0,OK
2017,11,13,15,22,11,0,15.1,28.0,OK
2017,11,13,15,37,15,0,15.1,36.0,OK
2017,11,13,15,52,19,0,15.8,40.0,OK
2017,11,13,16,07,23,0,15.7,43.0,OK
2017,11,13,16,22,26,0,15.8,46.0,OK
2017,11,13,16,37,30,0,15.7,48.0,OK
2017,11,13,16,52,34,0,15.4,44.0,OK
2017,11,13,17,07,38,0,15.1,43.0,OK
2017,11,13,17,22,41,0,15.1,45.0,OK
2017,11,13,17,37,44,0,15.1,44.0,OK
2017,11,13,17,52,48,0,18.3,43.0,OK
2017,11,13,18,07,51,0,18.3,40.0,OK
2017,11,13,18,22,54,0,15.1,39.0,OK
2017,11,13,18,37,58,0,15.1,35.0,OK
2017,11,13,18,53,01,0,15.1,27.0,OK
2017,11,13,19,08,05,0,15.1,24.0,OK
2017,11,13,19,23,09,0,15.1,23.0,OK
2017,11,13,19,38,13,0,15.1,22.0,OK
2017,11,13,19,53,17,0,15.1,21.0,OK
2017,11,13,20,08,21,0,15.1,21.0,OK
2017,11,13,20,23,25,0,15.1,20.0,OK
2017,11,13,20,38,29,0,15.1,20.0,OK
2017,11,13,20,53,33,0,15.1,20.0,OK
2017,11,13,21,08,37,0,15.1,20.0,OK
2017,11,13,21,23,41,0,15.1,21.0,OK
2017,11,13,21,38,45,0,15.1,20.0,OK
2017,11,13,21,53,49,0,15.1,20.0,OK
2017,11,13,22,08,53,0,15.1,20.0,OK
2017,11,13,22,23,57,0,15.1,19.0,OK
2017,11,13,22,39,01,0,15.1,19.0,OK
2017,11,13,22,51,20,0,15.1,19.0,OK
2017,11,13,23,06,25,0,15.1,20.0,OK
2017,11,13,23,21,30,0,15.1,19.0,OK
2017,11,13,23,36,35,0,15.1,19.0,OK
2017,11,13,23,51,40,0,17.8,20.0,OK
2017,11,14,00,06,45,1,17.8,20.0,OK
2017,11,14,00,21,50,1,17.8,20.0,OK
2017,11,14,00,36,55,1,17.8,21.0,OK
2017,11,14,00,52,00,1,17.8,21.0,OK
2017,11,14,01,07,06,1,17.8,20.0,OK
2017,11,14,01,22,11,1,17.8,20.0,OK
2017,11,14,01,37,16,1,17.8,21.0,OK
2017,11,14,01,52,21,1,17.8,21.0,OK
2017,11,14,02,07,26,1,17.8,21.0,OK
2017,11,14,02,22,31,1,17.8,21.0,OK
2017,11,14,02,37,36,1,17.8,21.0,OK
2017,11,14,02,52,42,1,17.8,21.0,OK
2017,11,14,03,07,47,1,17.8,21.0,OK
2017,11,14,03,22,51,1,17.8,21.0,OK
2017,11,14,03,37,56,1,17.8,21.0,OK
2017,11,14,03,53,01,1,17.8,21.0,OK
2017,11,14,04,08,06,1,17.8,21.0,OK
2017,11,14,04,23,12,1,17.8,21.0,OK
2017,11,14,04,38,17,1,17.8,21.0,OK
2017,11,14,04,53,22,1,17.8,20.0,OK
2017,11,14,05,08,27,1,17.8,20.0,OK
2017,11,14,05,23,32,1,17.8,20.0,OK
2017,11,14,05,38,37,1,17.8,21.0,OK
2017,11,14,05,53,42,1,17.8,21.0,OK
2017,11,14,06,08,46,1,17.8,21.0,OK
2017,11,14,06,23,50,1,17.8,22.0,OK
2017,11,14,06,38,55,1,17.8,22.0,OK
2017,11,14,06,53,59,1,17.8,24.0,OK
2017,11,14,07,09,03,1,17.8,26.0,OK
2017,11,14,07,24,08,1,17.8,32.0,OK
2017,11,14,07,39,12,1,15.1,39.0,OK
2017,11,14,07,54,16,1,15.9,36.0,OK
2017,11,14,08,09,21,1,17.8,36.0,OK
2017,11,14,08,24,25,1,15.0,38.0,OK
2017,11,14,08,39,30,1,15.5,38.0,OK
2017,11,14,08,54,35,1,15.5,36.0,OK
2017,11,14,09,09,40,1,15.6,32.0,OK
2017,11,14,09,24,45,1,15.1,29.0,OK
2017,11,14,09,39,50,1,15.0,28.0,OK
2017,11,14,09,54,55,1,15.1,29.0,OK
2017,11,14,10,10,00,1,17.7,25.0,OK
2017,11,14,10,25,05,1,17.8,25.0,OK
2017,11,14,10,40,10,1,17.8,23.0,OK
2017,11,14,10,55,15,1,17.8,22.0,OK
2017,11,14,11,10,20,1,17.8,22.0,OK
2017,11,14,11,25,25,1,17.8,22.0,OK
2017,11,14,11,40,30,1,17.8,23.0,OK
2017,11,14,11,55,36,1,17.8,22.0,OK
2017,11,14,12,10,40,1,17.8,23.0,OK
2017,11,14,12,25,45,1,17.8,23.0,OK
2017,11,14,12,40,50,1,17.8,22.0,OK
2017,11,14,12,55,56,1,17.8,22.0,OK
2017,11,14,13,11,01,1,17.8,23.0,OK
2017,11,14,13,26,06,1,17.8,23.0,OK
2017,11,14,13,41,11,1,17.8,23.0,OK
